"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Color","DNP","Dielectric","LCSC","MPN","Manufacturer","Package","Tolerance","Type","Voltage","Description","Mouser PN"
"J5","1","TERM BLK 4POS 5mm TH","","","","PH1190299:PHOENIX_1190299","https://www.lcsc.com/datasheet/C3309834.pdf","","","","C3309834","1190299","Phoenix Contact","Through Hole,P=5mm","","THT","","4 Position Wire to Board Terminal Block 5mm Through Hole","651-1190299"
"J6","1","CONN D-SUB PLUG 9POS TH","","","","SubD-M-2301843-2:CONN9_2301843-2_TEC","https://www.lcsc.com/datasheet/C591554.pdf","","","","C591554","2301843-2","TE Connectivity","Through Hole","","THT","","Connector D-Sub, Male 9 Position 2 Row Through Hole","571-2301843-2"
"J7","1","TCVR PWR","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"J8","1","TX LED","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"J9","1","RX LED","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"J10","1","SW ENA","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"J11","1","MODE0","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"J12","1","MODE1","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"J13","1","MODE2","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"J14","1","DIR","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"J15","1","TERM TX","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"J16","1","TERM RX","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"J17","1","SLR","","","","Samtec_Connector:Samtec HTSW-103-07-F-S","https://www.lcsc.com/datasheet/C5714562.pdf","","","","C5714562","HTSW-103-07-F-S","Samtec","Through Hole,P=2.54mm","","THT","","Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃","200-HTSW10307GS"
"R1","1","150K","","","","PCM_fab:R_0603","https://www.lcsc.com/datasheet/C20142013.pdf","","","","C20142013","AC0603FR-7W150KL","YAGEO","0603","","SMD","","200mW 150kΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS","603-AC0603FR-7W150KL"
"R2,R24,R25,R27,R37,R38,R39,R55,R56,R57,R67","11","100K","","","","PCM_fab:R_0603","https://www.lcsc.com/datasheet/C5552302.pdf","","","","C5552302","AC0603FR-7W100KL","YAGEO","0603","","SMD","","200mW 100kΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS","603-AC0603FR-7W100KL"
"R3,R4","2","120R","","","","PCM_fab:R_0603","https://www.lcsc.com/datasheet/C5552306.pdf","","","","C5552306","AC0603FR-7W120RL","YAGEO","0603","","SMD","","200mW 120Ω Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS","603-AC0603FR-7W120RL"
"R5,R6,R7,R8","4","0R","","","","PCM_SparkFun-Resistor:R_0805_2012Metric","https://www.lcsc.com/datasheet/C844811.pdf","","","","C844811","CRCW08050000Z0EAHP","VISHAY","0603","","SMD","","500mW 0Ω 150V Thick Film Resistor 0805 Chip Resistor - Surface Mount RoHS","71-CRCW08050000Z0EAH"
"R9,R14,R21,R70,R71,R72,R73,R74,R75,R76","10","330R","","","","PCM_fab:R_0603","https://www.lcsc.com/datasheet/C513549.pdf","","","","C513549","AC0603FR-7W330RL","YAGEO","0603","","SMD","","330Ω ±1% 200mW 0603 Thick Film Resistor","603-AC0603FR-7W330RL"
"R10,R16,R26,R32,R34,R36,R50,R52,R54,R66","10","590R","","","","PCM_fab:R_0603","https://www.lcsc.com/datasheet/C227973.pdf","","","","C227973","AC0603FR-07590RL","YAGEO","0603","","SMD","","590Ω 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS","603-AC0603FR-07590RL"
"R11,R22,R23,R40,R41,R42,R43,R44,R45,R58,R59,R60,R61,R62,R63,R68,R69","17","10K","","","","PCM_fab:R_0603","https://www.lcsc.com/datasheet/C20142011.pdf","","","","C20142011","AC0603FR-7W10KL","YAGEO","0603","","SMD","","10kΩ 200mW Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS","603-AC0603FR-7W10KL"
"R12,R17","2","1K","","","","PCM_fab:R_0603","https://www.lcsc.com/datasheet/C6113732.pdf","","","","C6113732","AC0603FR-7W1KL","YAGEO","0603","","SMD","","200mW 1kΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS","603-AC0603FR-7W1KL"
"R13,R18","2","453K","","","","PCM_fab:R_0603","https://www.lcsc.com/datasheet/C227908.pdf","","","","C227908","AC0603FR-07453KL","YAGEO","0603","","SMD","","453kΩ 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS","603-AC0603FR-07453KL"
