pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
93.472,-143.064817,0.0,top,TP23,5122,"Through Hole,P=2.54mm",KEYSTONE_5122,RTS,tht
93.472,-95.25,0.0,top,TP24,5122,"Through Hole,P=2.54mm",KEYSTONE_5122,DSR,tht
93.472,-137.095817,0.0,top,TP25,5122,"Through Hole,P=2.54mm",KEYSTONE_5122,CTS,tht
93.472,-101.219,0.0,top,TP26,5122,"Through Hole,P=2.54mm",KEYSTONE_5122,RTS,tht
93.472,-131.126817,0.0,top,TP27,5122,"Through Hole,P=2.54mm",KEYSTONE_5122,DSR,tht
93.472,-107.188,0.0,top,TP28,5122,"Through Hole,P=2.54mm",KEYSTONE_5122,CTS,tht
93.472,-119.126,0.0,top,TP29,5006,"Through Hole,P=2.54mm",KEYSTONE_5006,GND,tht
34.163,-100.965,0.0,top,TP3,5005,"Through Hole,P=2.54mm",KEYSTONE_5005,3V3 LDO,tht
93.472,-113.157,0.0,top,TP30,5121,"Through Hole,P=2.54mm",KEYSTONE_5121,RI,tht
34.163,-82.804,-90.0,top,TP4,5006,"Through Hole,P=2.54mm",KEYSTONE_5006,GND,tht
34.163,-76.835,0.0,top,TP5,5005,"Through Hole,P=2.54mm",KEYSTONE_5005,3V3 IN,tht
34.163,-88.773,0.0,top,TP6,5005,"Through Hole,P=2.54mm",KEYSTONE_5005,3V3 SYS,tht
34.163,-106.934,0.0,top,TP7,5005,"Through Hole,P=2.54mm",KEYSTONE_5005,PR1,tht
34.163,-94.869,0.0,top,TP8,5005,"Through Hole,P=2.54mm",KEYSTONE_5005,ST,tht
34.163,-131.191,0.0,top,TP9,5121,"Through Hole,P=2.54mm",KEYSTONE_5121,DCD,tht
50.1142,-90.358001,0.0,top,U1,TLV77518PDBVR,SOT-23-5,SOT-23-5_1P75X3P05_TEX,TLV77518PDBVR,smt
50.192,-84.467,0.0,top,U2,TPS2117DRLR,SOT-5X3,SOTFL50P160X60-8N,TPS2117DRLR,smt
72.019,-80.762,90.0,top,U3,THVD4431RHAR,VQFN-40-EP(6x6),RHA0040R-MFG,THVD4431,smt
59.436,-50.734,180.0,top,U4,SN74LVC2G14DBVR,SOT-23-6,SOT-23-6,SN74LVC2G14DBV,smt
75.311,-97.79,90.0,top,U5,SN74LVC245ADBR,SSOP-20,SOP65P780X200-20N,SN74LVC245ADBR,smt
55.564,-127.254,0.0,top,U6,SN74LVC14ADR,SOIC-14,SOIC127P600X175-14N,SN74LVC14ADR,smt
65.848,-127.254,0.0,top,U7,SN74LVC14ADR,SOIC-14,SOIC127P600X175-14N,SN74LVC14ADR,smt
75.0875,-127.5385,0.0,top,U8,SN74LVC2G14DBVR,SOT-23-6,SOT-23-6,SN74LVC2G14DBV,smt
